ID,title,author,rating,genre
190,It,Stephen King,4.5,"Fiction , Horror"
191,War and Peace: With bonus material from Give War and Peace A Chance by Andrew D. Kaufman,Leo Tolstoy,4.3,"Fiction , General"
192,A Trace of Vice (a Keri Locke Mystery--Book #3),Blake Pierce,4.8,"Fiction , Thrillers , Suspense"
193,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.2,none
194,Find Me: A Novel,André Aciman,4.7,"Fiction , LGBT , Gay"
195,Dark Matter: A Novel,Blake Crouch,4.4,"Fiction , Thrillers , Suspense"
196,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4.0,"Self-Help , Emotions"
197,"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,4.6,none
198,Strawberry Shortcake Murder,Joanne Fluke,4.0,"Fiction , Mystery &amp, Detective , Amateur Sleuth"
199,The Witcher #1,Paul Tobin,4.6,"Comics & Graphic Novels , General"
200,Spider-Man: Anti-Venom,Dan Slott,4.0,none
201,Battle Sight Zero,Gerald Seymour,5.0,none
202,The Neatest Little Guide to Stock Market Investing: Fifth Edition,Jason Kelly,4.1,"Business &amp, Economics , Reference"
203,Kingdom Of Strangers,Zoe Ferraris,4.5,none
204,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,4.5,none
205,In Dark Company: A Kate Burkholder Short Story,Linda Castillo,4.3,none
206,The Infinite Game,Simon Sinek,3.8,"Business &amp, Economics , Motivational"
207,Freakonomics Rev Ed: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,3.8,"Business &amp, Economics , Theory"
208,Killer Blonde,Laura Levine,4.0,"Fiction , Mystery &amp, Detective , Cozy , General"
209,Total Control,David Baldacci,4.0,"Fiction , Thrillers , Suspense"
210,Permanent Record,Edward Snowden,4.6,none
211,Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,4.0,none
212,Kiss the Girls and Make Them Cry,Mary Higgins Clark,4.0,none
213,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial",Tony Robbins,4.6,"Self-Help , Personal Growth , Success"
214,The Eye of the World: Book One of 'The Wheel of Time',Robert Jordan,4.7,none
215,"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,4.3,"Self-Help , Personal Growth , Success"
216,15 Delicious Slow Cooker Recipes,Sallie Stone,5.0,"Cooking , General"
217,Moby Dick. Illustrated edition,Melville Herman,5.0,"Fiction , Action & Adventure"
218,Selling 101: What Every Successful Sales Professional Needs to Know,Zig Ziglar,3.8,none
219,Legacy,Shannon Messenger,4.9,none
220,"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,4.5,none
221,Letting Go,"David R. Hawkins, M.D./Ph.D.",4.6,none
222,10 Ways to be annoying,James Fries,,none
223,Shall We Tell the President?,Jeffrey Archer,4.5,"Fiction , General"
224,A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,4.6,none
225,The Guardians: A Novel,John Grisham,4.5,"Fiction , Thrillers , Crime"
226,Final Option,Clive Cussler,4.9,"Fiction , Thrillers , Suspense"
227,Rogues,George R. R. Martin,4.1,none
228,That Time I got Reincarnated as a Slime 11,Story by FUSE,5.0,"Comics &amp, Graphic Novels , Manga , General"
229,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.1,"Business &amp, Economics , Organizational Behavior"
230,Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,4.8,"Fiction , Fantasy , Action &amp, Adventure"
231,You'll Never See Daylight Again,Michaella McCollum,4.3,none
232,Watching (The Making of Riley Paige—Book 1),Blake Pierce,4.6,none
233,A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,4.6,"Fiction , Action &amp, Adventure"
234,The Mysterious Affair at Styles,Agatha Christie,4.4,"Fiction , Thrillers , Military"
235,The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,4.7,none
236,Mighty Thor Vol. 2: Lords Of Midgard,Jason Aaron,3.3,"Comics &amp, Graphic Novels , Superheroes"
237,Mrs. Pollifax Unveiled,Dorothy Gilman,3.9,"Fiction , Mystery &amp, Detective , Women Sleuths"
238,Blue Moon: A Jack Reacher Novel,Lee Child,4.4,none
239,A Dance with Dragons: A Song of Ice and Fire: Book Five,George R. R. Martin,4.5,"Fiction , Action &amp, Adventure"
240,Home Work: A Memoir of My Hollywood Years,Julie Andrews,5.0,none
241,"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,4.5,none
242,Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,,"Business &amp, Economics , Conflict Resolution &amp, Mediation"
243,Green Lantern: Secret Origin,Geoff Johns,4.6,none
244,Moby Dick. Illustrated edition,Melville Herman,5.0,"Fiction , Action & Adventure"
245,How to Win Friends and Influence People,Dale Carnegie,4.4,"Psychology , General"
246,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4.0,"Philosophy , General"
247,War and Peace: With bonus material from Give War and Peace A Chance by Andrew D. Kaufman,Leo Tolstoy,4.3,"Fiction , Classics"
248,Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,5.0,"Business &amp, Economics , General"
249,Summary: The Compound Effect,Nine99 Innovation Lab,5.0,"Business & Economics , Mentoring & Coaching"
250,And Then There Were None,Agatha Christie,4.6,"Fiction , Classics"
251,"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,4.7,none
252,The Art of War (The Classic Lionel Giles Translation),Sun Tzu,4.6,"History , Military , General"
253,Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,4.7,none
254,Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,4.7,none
255,Platform: Get Noticed in a Noisy World,Michael Hyatt,4.6,"Business &amp, Economics , Advertising &amp, Promotion"
256,Ultimate Spider-Man Vol. 11: Carnage,Brian Michael Bendis,4.1,"Comics &amp, Graphic Novels , Superheroes"
257,Diabolical,Jana DeLeon,4.8,none
258,Introducing Critical Theory: A Graphic Guide,Stuart Sim,3.7,none
259,Final Option,Clive Cussler,4.9,"Fiction , Action &amp, Adventure"
260,Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,5.0,none
261,The Secret,Rhonda Byrne,4.1,"Self-Help , Personal Growth , Success"
262,"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,4.3,none
263,The Art of War (The Classic Lionel Giles Translation),Sun Tzu,4.6,none
264,The Shadow Rising: Book Four of 'The Wheel of Time',Robert Jordan,4.7,"Fiction , Fantasy , Action &amp, Adventure"
265,Bring Me Back,B A Paris,3.8,"Fiction , Thrillers , Psychological"
266,Business Strategy (The Brian Tracy Success Library),Brian Tracy,,none
267,Personal Success (The Brian Tracy Success Library),Brian Tracy,,none
268,Dead Silent,Shirley Wells,4.0,"Fiction , Mystery &amp, Detective , International Mystery &amp, Crime"
269,"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,4.5,none
270,Total Control,David Baldacci,4.0,"Fiction , Thrillers , Crime"
271,Civil War: Volume 1,Mark Millar,4.5,none
272,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4.0,none
273,Introducing Critical Theory: A Graphic Guide,Stuart Sim,3.7,"Comics &amp, Graphic Novels , Nonfiction"
274,A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,4.6,"Fiction , Fantasy , Epic"
275,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4.0,"Psychology , Emotions"
276,Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,4.5,"Business &amp, Economics , E-Commerce , General"
277,The Red Signal: An Agatha Christie Short Story,Agatha Christie,5.0,"Fiction , Mystery &amp, Detective , General"
278,God of War: The Official Novelization,J.M. Barlog,4.5,none
279,I Am Pilgrim: The bestselling Richard & Judy Book Club pick,Terry Hayes,4.4,"Fiction , Thrillers , Crime"
280,Getting Things Done: The Art of Stress-Free Productivity,David Allen,4.5,"Self-Help , Self-Management , Time Management"
281,The Eye of the World: Book One of 'The Wheel of Time',Robert Jordan,4.7,none
282,The Daylight War: Book Three of The Demon Cycle,Peter V. Brett,4.6,none
283,Candide,Voltaire,4.5,"Fiction , Literary"
284,The Vagrant (The Vagrant Trilogy),Peter Newman,4.2,"Fiction , Fantasy , Epic"
285,"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages",Brandon Sanderson,4.7,"Fiction , Fantasy , Epic"
286,Dork Diaries: Spectacular Superstar,Rachel Renee Russell,4.8,"Juvenile Fiction , General"
287,Final Option: 'The best one yet',Clive Cussler,5.0,none
288,Deadpool Team-Up Vol. 1: Good Buddies,Fred Van Lente,3.9,"Comics & Graphic Novels , Superheroes"
289,Batman: Year One,Frank Miller,4.5,none
290,"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,4.7,none
291,My Little Pony: Friendship is Magic #45,Thom Zahler,4.4,"Comics & Graphic Novels , General"
292,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4.0,"Psychology , General"
293,Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,4.4,none
294,Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,4.5,none
295,Batman vs. Superman: The Greatest Battles,Geoff Johns,4.4,none
296,"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,4.6,none
297,Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,4.3,"Psychology , Creative Ability"
298,Immortal Hulk Vol. 1: Or Is He Both?,Al Ewing,4.4,"Comics &amp, Graphic Novels , Superheroes"
299,Her Royal Spyness,Rhys Bowen,3.8,"Fiction , Mystery &amp, Detective , Amateur Sleuth"
300,"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,4.4,"Fiction , Fantasy , General"
301,The Art of Super Mario Odyssey,Nintendo,3.9,none
302,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.2,"Fiction , Thrillers , Suspense"
303,Blood Runs Cold: A completely unputdownable mystery and suspense thriller,Dylan Young,4.8,"Fiction , Thrillers , Suspense"
304,Getting Things Done: The Art of Stress-Free Productivity,David Allen,4.5,none
305,Her Royal Spyness,Rhys Bowen,3.8,none
306,Shattered Bonds,Faith Hunter,4.8,"Fiction , Fantasy , Paranormal"
307,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,4.6,"Fiction , Fairy Tales, Folk Tales, Legends &amp, Mythology"
308,The Vagrant (The Vagrant Trilogy),Peter Newman,4.2,none
309,Mighty Thor Vol. 2: Lords Of Midgard,Jason Aaron,3.3,none
310,The Walking Dead: Compendium 1,Robert Kirkman,4.5,none
311,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,"Fiction , Fantasy , Dragons &amp, Mythical Creatures"
312,"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,4.6,none
313,Summary: The Compound Effect,Nine99 Innovation Lab,5.0,"Business & Economics , Mentoring & Coaching"
314,The Shadow Rising: Book Four of 'The Wheel of Time',Robert Jordan,4.7,none
315,Blood Runs Cold: A completely unputdownable mystery and suspense thriller,Dylan Young,4.8,none
316,Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,4.7,"Fiction , Mystery &amp, Detective , Women Sleuths"
317,W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,4.3,"Fiction , Mystery &amp, Detective , Private Investigators"
318,Deadpool Kills the Marvel Universe,Cullen Bunn,4.2,none
319,Antiques Con,Barbara Allan,4.8,"Fiction , Mystery &amp, Detective , Cozy , General"
320,Furies of Calderon,Jim Butcher,4.7,"Fiction , Fantasy , Military"
321,Battle Sight Zero,Gerald Seymour,5.0,none
322,You'll Never See Daylight Again,Michaella McCollum,4.3,"True Crime , General"
323,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,4.8,"Psychology , Neuropsychology"
324,Furies of Calderon,Jim Butcher,4.7,none
325,The Call of Cthulhu,H. P. Lovecraft,4.9,"Fiction , Horror"
326,Batman: Earth One,Geoff Johns,4.4,none
327,"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,4.6,"Health &amp, Fitness , Healthy Living"
328,Summary: The Compound Effect,Nine99 Innovation Lab,5.0,"Business & Economics , Mentoring & Coaching"
329,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,4.4,none
330,Introducing Critical Theory: A Graphic Guide,Stuart Sim,3.7,"Philosophy , Movements , General"
331,The Art of Thinking Clearly,Rolf Dobelli,4.3,"Psychology , Social Psychology"
332,Auberon,James S. A. Corey,4.7,"Fiction , Science Fiction , Space Opera"
333,Find Me: A Novel,André Aciman,4.7,none
334,Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,4.4,"Fiction , Fantasy , Action &amp, Adventure"
